time (s),strain
-5.015716553,-3.248595313831953e-22
-5.015472412375,-3.2447884702791946e-22
-5.01522827175,-3.2370172672373006e-22
-5.014984131125,-3.230686135021396e-22
-5.0147399905,-3.2188500320039315e-22
-5.014495849875,-3.2136522075640734e-22
-5.01425170925,-3.2020289432291273e-22
-5.014007568625,-3.186062334330619e-22
-5.013763428,-3.174724471644753e-22
-5.013519287375,-3.1605783621633755e-22
-5.01327514675,-3.1448635043417626e-22
-5.013031006125,-3.125939771388698e-22
-5.0127868655,-3.1127534836800183e-22
-5.012542724875,-3.09683510336754e-22
-5.01229858425,-3.0811930356375433e-22
-5.012054443625,-3.062445418175744e-22
-5.011810303,-3.044474942432287e-22
-5.011566162375,-3.0240439297750326e-22
-5.01132202175,-3.0104625200343035e-22
-5.011077881125,-2.9887008599984963e-22
-5.0108337405,-2.9692963485664396e-22
-5.010589599875,-2.941183916331634e-22
-5.01034545925,-2.9216972907641893e-22
-5.010101318625,-2.8970166285266382e-22
-5.009857178,-2.8727519323573485e-22
-5.009613037375,-2.8478301924663485e-22
-5.00936889675,-2.819250210256038e-22
-5.009124756125,-2.7906837043797384e-22
-5.0088806155,-2.7695173115064334e-22
-5.008636474875,-2.7446784315737903e-22
-5.00839233425,-2.7088207225981644e-22
-5.008148193625,-2.6832588675859662e-22
-5.007904053,-2.6521750516631136e-22
-5.007659912375,-2.6270996737506116e-22
-5.00741577175,-2.5921158949643983e-22
-5.007171631125,-2.567846332599376e-22
-5.0069274905,-2.5333183630193207e-22
-5.006683349875,-2.49597112033063e-22
-5.00643920925,-2.467754151010908e-22
-5.006195068625,-2.4314615407851333e-22
-5.005950928,-2.4002576233046576e-22
-5.005706787375,-2.363115305569259e-22
-5.00546264675,-2.331541746881985e-22
-5.005218506125,-2.2959611288843886e-22
-5.0049743655,-2.2563408342945347e-22
-5.004730224875,-2.2222418178399073e-22
-5.00448608425,-2.179206183846382e-22
-5.004241943625,-2.147715192269249e-22
-5.003997803,-2.1061884672790908e-22
-5.003753662375,-2.061127249775999e-22
-5.00350952175,-2.0229530096551736e-22
-5.003265381125,-1.987832047996428e-22
-5.0030212405,-1.9501698918495182e-22
-5.002777099875,-1.9073569310427424e-22
-5.00253295925,-1.8664127593382413e-22
-5.002288818625,-1.82448690004649e-22
-5.002044678,-1.7801349595966535e-22
-5.001800537375,-1.739069188123232e-22
-5.00155639675,-1.6909104193345035e-22
-5.001312256125,-1.6478033989602153e-22
-5.0010681155,-1.6070782224170321e-22
-5.000823974875,-1.5638907445192203e-22
-5.00057983425,-1.5196671588831976e-22
-5.000335693625,-1.4764220097878892e-22
-5.000091553,-1.4242941257422682e-22
-4.999847412375,-1.379198774534417e-22
-4.99960327175,-1.3399655061527806e-22
-4.999359131125,-1.2903823656490458e-22
-4.9991149905,-1.248079002328064e-22
-4.998870849875,-1.1916603515412576e-22
-4.99862670925,-1.1484691596492995e-22
-4.998382568625,-1.1046807419793743e-22
-4.998138428,-1.0587282855372352e-22
-4.997894287375,-1.0019768280201472e-22
-4.99765014675,-9.542857040414735e-23
-4.997406006125,-9.140909648888138e-23
-4.9971618655,-8.606858000024347e-23
-4.996917724875,-8.094597432261785e-23
-4.99667358425,-7.625466109361435e-23
-4.996429443625,-7.106481212732104e-23
-4.996185303,-6.655459061010412e-23
-4.995941162375,-6.122876216017012e-23
-4.99569702175,-5.678492495555263e-23
-4.995452881125,-5.115094555140576e-23
-4.9952087405,-4.650175889276807e-23
-4.994964599875,-4.1679856127353856e-23
-4.99472045925,-3.6873945801850916e-23
-4.994476318625,-3.1147344801706387e-23
-4.994232178,-2.649586617016043e-23
-4.993988037375,-2.1264606783169762e-23
-4.99374389675,-1.5970889719047147e-23
-4.993499756125,-1.1100347753855725e-23
-4.9932556155,-6.752545424006139e-24
-4.993011474875,-1.0808350756313274e-24
-4.99276733425,4.072914814578511e-24
-4.992523193625,9.321446153280951e-24
-4.992279053,1.4230339995148686e-23
-4.992034912375,1.91567921146474e-23
-4.99179077175,2.4254062046158176e-23
-4.991546631125,2.91433102744524e-23
-4.9913024905,3.4448843984220365e-23
-4.991058349875,3.8809235447982257e-23
-4.99081420925,4.3828733148380806e-23
-4.990570068625,4.87561713771891e-23
-4.990325928,5.426891331657849e-23
-4.990081787375,5.887649194133543e-23
-4.98983764675,6.359301257836372e-23
-4.989593506125,6.927509390883192e-23
-4.9893493655,7.405801529634554e-23
-4.989105224875,7.834765182089014e-23
-4.98886108425,8.356452339013409e-23
-4.988616943625,8.822433618625508e-23
-4.988372803,9.345102877568934e-23
-4.988128662375,9.844262621649031e-23
-4.98788452175,1.0351898737491125e-22
-4.987640381125,1.074533032764858e-22
-4.9873962405,1.125380181114181e-22
-4.987152099875,1.1781667156841377e-22
-4.98690795925,1.2240349783819544e-22
-4.986663818625,1.2650972946740909e-22
-4.986419678,1.3179686397024544e-22
-4.986175537375,1.359893947810276e-22
-4.98593139675,1.407543117262299e-22
-4.985687256125,1.4503936369327913e-22
-4.9854431155,1.495956859858282e-22
-4.985198974875,1.540343499859574e-22
-4.98495483425,1.587956243727391e-22
-4.984710693625,1.6327949731804796e-22
-4.984466553,1.6766886527194695e-22
-4.984222412375,1.7203103594181988e-22
-4.98397827175,1.761476915167929e-22
-4.983734131125,1.8048916340408644e-22
-4.9834899905,1.8441879737375059e-22
-4.983245849875,1.8920231748368508e-22
-4.98300170925,1.926624012058454e-22
-4.982757568625,1.9736343132949341e-22
-4.982513428,2.0053504608370396e-22
-4.982269287375,2.0458699307960853e-22
-4.98202514675,2.0861150283982886e-22
-4.981781006125,2.124397784561131e-22
-4.9815368655,2.164807326143694e-22
-4.981292724875,2.200729237818487e-22
-4.98104858425,2.241269484144867e-22
-4.980804443625,2.279360217245178e-22
-4.980560303,2.31247324110521e-22
-4.980316162375,2.354091644830536e-22
-4.98007202175,2.3811299217322365e-22
-4.979827881125,2.423046871445994e-22
-4.9795837405,2.452504512445652e-22
-4.979339599875,2.49082256294924e-22
-4.97909545925,2.518714212069611e-22
-4.978851318625,2.5536255314101707e-22
-4.978607178,2.5882142820877064e-22
-4.978363037375,2.6133254727743993e-22
-4.97811889675,2.6435079296156666e-22
-4.977874756125,2.678523988252365e-22
-4.9776306155,2.7033314667702236e-22
-4.977386474875,2.7308818212280764e-22
-4.97714233425,2.7593387099779006e-22
-4.976898193625,2.7910055810285873e-22
-4.976654053,2.8185503264988126e-22
-4.976409912375,2.8379352618132707e-22
-4.97616577175,2.867887619633708e-22
-4.975921631125,2.89531059172716e-22
-4.9756774905,2.9113999336295575e-22
-4.975433349875,2.93663378807867e-22
-4.97518920925,2.9594777982116375e-22
-4.974945068625,2.9782261082555075e-22
-4.974700928,3.001791685513553e-22
-4.974456787375,3.026158218556886e-22
-4.97421264675,3.047798763062443e-22
-4.973968506125,3.061078373261233e-22
-4.9737243655,3.0808348055692193e-22
-4.973480224875,3.0987529669502797e-22
-4.97323608425,3.1121008898925266e-22
-4.972991943625,3.1286048941483297e-22
-4.972747803,3.149082476789304e-22
-4.972503662375,3.159380653822409e-22
-4.97225952175,3.1706494748014006e-22
-4.972015381125,3.1858983340429286e-22
-4.9717712405,3.204493616949423e-22
-4.971527099875,3.2156343845471536e-22
-4.97128295925,3.2212986563759804e-22
-4.971038818625,3.231613111401093e-22
-4.970794678,3.2370918744626826e-22
-4.970550537375,3.2516154128993234e-22
-4.97030639675,3.2527342165725267e-22
-4.970062256125,3.2626145526316985e-22
-4.9698181155,3.2735511606837224e-22
-4.969573974875,3.2776430105803936e-22
-4.96932983425,3.2759381146433694e-22
-4.969085693625,3.282824911281723e-22
-4.968841553,3.286489758484043e-22
-4.968597412375,3.292388220693453e-22
-4.96835327175,3.294084476929187e-22
-4.968109131125,3.292029085823023e-22
-4.9678649905,3.2962375175372963e-22
-4.967620849875,3.2887027747231716e-22
-4.96737670925,3.2865462203628267e-22
-4.967132568625,3.28964443618609e-22
-4.966888428,3.2840026154389337e-22
-4.966644287375,3.277175958254008e-22
-4.96640014675,3.279989061211805e-22
-4.966156006125,3.265704145368178e-22
-4.9659118655,3.263508850235174e-22
-4.965667724875,3.256307134404047e-22
-4.96542358425,3.252217149971215e-22
-4.965179443625,3.235995428059462e-22
-4.964935303,3.235158915204051e-22
-4.964691162375,3.2211517334657757e-22
-4.96444702175,3.2137121042800596e-22
-4.964202881125,3.2023891516515895e-22
-4.9639587405,3.19046172315296e-22
-4.963714599875,3.174824566936021e-22
-4.96347045925,3.1557185529299374e-22
-4.963226318625,3.144561878253861e-22
-4.962982178,3.1266353568646024e-22
-4.962738037375,3.1143086062196706e-22
-4.96249389675,3.0942806284420384e-22
-4.962249756125,3.0780641352816173e-22
-4.9620056155,3.055815881239083e-22
-4.961761474875,3.0399094469804806e-22
-4.96151733425,3.0183798582746184e-22
-4.961273193625,2.996330843842272e-22
-4.961029053,2.9812780661621857e-22
-4.960784912375,2.956925174012001e-22
-4.96054077175,2.9350874114557405e-22
-4.960296631125,2.914963071484774e-22
-4.9600524905,2.887105627841234e-22
-4.959808349875,2.8591175170613964e-22
-4.95956420925,2.835993307611912e-22
-4.959320068625,2.8075749741828253e-22
-4.959075928,2.7816764522790637e-22
-4.958831787375,2.757151050572157e-22
-4.95858764675,2.7286780858652947e-22
-4.958343506125,2.69969610316725e-22
-4.9580993655,2.6682296068688398e-22
-4.957855224875,2.6367916821522324e-22
-4.95761108425,2.6096388433518364e-22
-4.957366943625,2.575928194178532e-22
-4.957122803,2.5492007726759076e-22
-4.956878662375,2.511345268787765e-22
-4.95663452175,2.48217112549281e-22
-4.956390381125,2.4459160737719823e-22
-4.9561462405,2.4109367764345677e-22
-4.955902099875,2.376447571055278e-22
-4.95565795925,2.3400135118785947e-22
-4.955413818625,2.3047559112700413e-22
-4.955169678,2.2658280154147305e-22
-4.954925537375,2.2334409175214895e-22
-4.95468139675,2.199981592836463e-22
-4.954437256125,2.153300243482911e-22
-4.9541931155,2.1157276670835182e-22
-4.953948974875,2.0771096779951637e-22
-4.95370483425,2.0409851552205818e-22
-4.953460693625,2.0008574114429493e-22
-4.953216553,1.9567178065790137e-22
-4.952972412375,1.91590384586567e-22
-4.95272827175,1.8815554347349117e-22
-4.952484131125,1.8342818586226703e-22
-4.9522399905,1.7891306914175478e-22
-4.951995849875,1.75464298273708e-22
-4.95175170925,1.7043242937624012e-22
