t,hp,hc
-14.68963623,-4.7378922312115457e-23,-4.2988096356027434e-24
-14.689392089375,-4.730759401879865e-23,-5.025100647768816e-24
-14.68914794875,-4.7225132189880434e-23,-5.75021895329506e-24
-14.688903808125,-4.71315560957255e-23,-6.4739946517591675e-24
-14.6886596675,-4.702688700328088e-23,-7.196257233682916e-24
-14.688415526875,-4.6911149665584263e-23,-7.91683665816742e-24
-14.68817138625,-4.678437086694781e-23,-8.635563192380838e-24
-14.687927245625,-4.664658033937577e-23,-9.352267608775662e-24
-14.687683105,-4.6497809839574744e-23,-1.006678109572377e-23
-14.687438964375,-4.633809456340902e-23,-1.0778935541069045e-23
-14.68719482375,-4.616747144180271e-23,-1.1488563202725826e-23
-14.686950683125,-4.598598050625079e-23,-1.2195497042861218e-23
-14.6867065425,-4.5793664144473244e-23,-1.2899570605984154e-23
-14.686462401875,-4.5590567347417165e-23,-1.3600618114679133e-23
-14.68621826125,-4.537673765289292e-23,-1.429847450278431e-23
-14.685974120625,-4.5152225057621585e-23,-1.4992975426012917e-23
-14.68572998,-4.4917082027073056e-23,-1.5683957304798188e-23
-14.685485839375,-4.467136387584939e-23,-1.637125750097096e-23
-14.68524169875,-4.4415128174790104e-23,-1.7054714163876343e-23
-14.684997558125,-4.4148434519175403e-23,-1.7734166159462058e-23
-14.6847534175,-4.387134580322658e-23,-1.8409453609519978e-23
-14.684509276875,-4.3583926899746246e-23,-1.9080417435693473e-23
-14.68426513625,-4.328624518083578e-23,-1.9746899592293662e-23
-14.684020995625,-4.297837040218227e-23,-2.0408743065234278e-23
-14.683776855,-4.2660374766330307e-23,-2.1065791947101176e-23
-14.683532714375,-4.2332332736036356e-23,-2.1717891387613117e-23
-14.68328857375,-4.199432154190879e-23,-2.2364887901824412e-23
-14.683044433125,-4.1646420334912047e-23,-2.3006628979629495e-23
-14.6828002925,-4.128871075192701e-23,-2.364296342076049e-23
-14.682556151875,-4.092127661363245e-23,-2.427374121261491e-23
-14.68231201125,-4.054420442522454e-23,-2.4898813879462128e-23
-14.682067870625,-4.015758251681521e-23,-2.551803401682526e-23
-14.68182373,-3.9761501837986866e-23,-2.613125582154708e-23
-14.681579589375,-3.9356054897748675e-23,-2.673833445586177e-23
-14.68133544875,-3.894133751290041e-23,-2.7339127251029523e-23
-14.681091308125,-3.851744653213255e-23,-2.7933492234507305e-23
-14.6808471675,-3.8084482061507905e-23,-2.852128970743819e-23
-14.680603026875,-3.764254540088846e-23,-2.910238083399322e-23
-14.68035888625,-3.71917403476036e-23,-2.967662861848321e-23
-14.680114745625,-3.673217289275334e-23,-3.024389775288338e-23
-14.679870605,-3.626395111123888e-23,-3.080405459237769e-23
-14.679626464375,-3.5787185027492476e-23,-3.135696709089626e-23
-14.67938232375,-3.5301986320146166e-23,-3.1902504577069834e-23
-14.679138183125,-3.4808469261041696e-23,-3.244053863759625e-23
-14.6788940425,-3.430674986965833e-23,-3.297094244147316e-23
-14.678649901875,-3.379694600458553e-23,-3.3493590859706065e-23
-14.67840576125,-3.3279177342896745e-23,-3.4008360484326063e-23
-14.678161620625,-3.2753565820782724e-23,-3.45151301429557e-23
-14.67791748,-3.2220234790349737e-23,-3.50137800962905e-23
-14.677673339375,-3.167930968935481e-23,-3.550419278248307e-23
-14.67742919875,-3.11309178987985e-23,-3.59862527572188e-23
-14.677185058125,-3.057518805834585e-23,-3.645984596615376e-23
-14.6769409175,-3.001225075020366e-23,-3.692486056089072e-23
-14.676696776875,-2.9442238683739974e-23,-3.738118723591126e-23
-14.67645263625,-2.8865285739306774e-23,-3.782871812621359e-23
