t,hp,hc
-4.732719421,-7.957663347297011e-23,-1.148130264345908e-23
-4.732475280375,-7.939209076186034e-23,-1.2700904428598548e-23
-4.73223113975,-7.918885339565645e-23,-1.3917566664109978e-23
-4.731986999125,-7.896696745342332e-23,-1.5131006535112105e-23
-4.7317428585,-7.872648370488426e-23,-1.6340937716487166e-23
-4.731498717875,-7.846745690435595e-23,-1.7547074581670974e-23
-4.73125457725,-7.81899469176951e-23,-1.8749132518269077e-23
-4.731010436625,-7.789401756649206e-23,-1.9946827831191267e-23
-4.730766296,-7.75797373644424e-23,-2.1139878210594713e-23
-4.730522155375,-7.72471783434216e-23,-2.232800227206923e-23
-4.73027801475,-7.68964177063498e-23,-2.3510919995447758e-23
-4.730033874125,-7.652753637932957e-23,-2.468835238277367e-23
-4.7297897335,-7.614061991662756e-23,-2.5860021804894592e-23
-4.729545592875,-7.573575824908699e-23,-2.7025652013513993e-23
-4.72930145225,-7.531304465494771e-23,-2.818496782769153e-23
-4.729057311625,-7.487257770785601e-23,-2.933769590662443e-23
-4.728813171,-7.441445941894123e-23,-3.0483564152529183e-23
-4.728569030375,-7.393879657771791e-23,-3.1622302285857315e-23
-4.72832488975,-7.344569970290559e-23,-3.275364151684561e-23
-4.728080749125,-7.293528341501943e-23,-3.3877314748613273e-23
-4.7278366085,-7.240766655401486e-23,-3.499305671103885e-23
-4.727592467875,-7.186297236349851e-23,-3.610060414348153e-23
-4.72734832725,-7.13013272874222e-23,-3.7199695270058695e-23
-4.727104186625,-7.072286257445279e-23,-3.829007067865924e-23
-4.726860046,-7.012771308541803e-23,-3.937147278666966e-23
-4.726615905375,-6.9516017602249e-23,-4.044364608691947e-23
-4.72637176475,-6.888791898320048e-23,-4.150633729908651e-23
-4.726127624125,-6.824356391401566e-23,-4.2559295325288604e-23
-4.7258834835,-6.758310288729228e-23,-4.3602271306604155e-23
-4.725639342875,-6.690669010138889e-23,-4.463501862968667e-23
-4.72539520225,-6.62144838289335e-23,-4.5657293257652936e-23
-4.725151061625,-6.550664579766374e-23,-4.666885339081213e-23
-4.724906921,-6.47833415527144e-23,-4.7669459810301686e-23
-4.724662780375,-6.404474035860178e-23,-4.865887588672005e-23
-4.72441863975,-6.329101492954468e-23,-4.963686746742571e-23
-4.724174499125,-6.252234192901779e-23,-5.0603203352962115e-23
-4.7239303585,-6.17389010815079e-23,-5.155765468173088e-23
-4.723686217875,-6.094087599205982e-23,-5.249999567096859e-23
-4.72344207725,-6.012845341032769e-23,-5.343000309484899e-23
-4.723197936625,-5.930182386096521e-23,-5.434745693225179e-23
-4.722953796,-5.846118100663589e-23,-5.52521398841897e-23
-4.722709655375,-5.760672176143604e-23,-5.614383756061561e-23
-4.72246551475,-5.673864663485344e-23,-5.702233891346133e-23
-4.722221374125,-5.585715893213283e-23,-5.788743555225116e-23
-4.7219772335,-5.496246554911565e-23,-5.873892262014863e-23
-4.721733092875,-5.405477641504926e-23,-5.957659835721138e-23
-4.72148895225,-5.313430433674537e-23,-6.040026398945295e-23
-4.721244811625,-5.220126538537112e-23,-6.120972428709185e-23
-4.721000671,-5.125587863840319e-23,-6.20047873643025e-23
-4.720756530375,-5.029836569055635e-23,-6.27852641976607e-23
-4.72051238975,-4.9328951771165236e-23,-6.35509701011669e-23
-4.720268249125,-4.8347864302120963e-23,-6.430172306545351e-23
-4.7200241085,-4.7355333734375527e-23,-6.503734488669433e-23
-4.719779967875,-4.6351593138045094e-23,-6.575766077144074e-23
-4.71953582725,-4.533687854835239e-23,-6.646249992025219e-23
-4.719291686625,-4.431142814752478e-23,-6.715169450175533e-23
-4.719047546,-4.327548306795682e-23,-6.782508091884325e-23
-4.718803405375,-4.222928668791928e-23,-6.848249889240254e-23
-4.71855926475,-4.117308519608401e-23,-6.912379246935448e-23
-4.718315124125,-4.010712674533861e-23,-6.974880880619813e-23
-4.7180709835,-3.903166203782697e-23,-7.035739923211783e-23
-4.717826842875,-3.794694396119787e-23,-7.09494187755605e-23
-4.71758270225,-3.6853227685349335e-23,-7.152472648781483e-23
-4.717338561625,-3.575077054644153e-23,-7.208318537654301e-23
-4.717094421,-3.4639831950699445e-23,-7.262466236527415e-23
-4.716850280375,-3.352067330895495e-23,-7.31490283216571e-23
-4.71660613975,-3.239355792688772e-23,-7.365615795861264e-23
-4.716361999125,-3.1258751243643697e-23,-7.414593053643951e-23
-4.7161178585,-3.0116520291611996e-23,-7.461822883718677e-23
-4.715873717875,-2.896713410902244e-23,-7.50729402583631e-23
-4.71562957725,-2.781086327609449e-23,-7.550995592058231e-23
-4.715385436625,-2.66479801479929e-23,-7.592917139783517e-23
-4.715141296,-2.5478758613972057e-23,-7.633048630577923e-23
-4.714897155375,-2.430347404657961e-23,-7.671380433313108e-23
-4.71465301475,-2.3122403427754873e-23,-7.707903383217592e-23
-4.714408874125,-2.1935824990328468e-23,-7.742608697739927e-23
-4.7141647335,-2.074401838590699e-23,-7.775488050040105e-23
-4.713920592875,-1.9547264495163112e-23,-7.80653352869297e-23
-4.71367645225,-1.834584538482878e-23,-7.835737651516283e-23
-4.713432311625,-1.7140044277854707e-23,-7.863093370621441e-23
-4.713188171,-1.593014553701571e-23,-7.888594114231545e-23
-4.712944030375,-1.47164343938307e-23,-7.91223368407284e-23
-4.71269988975,-1.3499197121812328e-23,-7.934006374476286e-23
-4.712455749125,-1.2278720781453135e-23,-7.953906881114193e-23
-4.7122116085,-1.1055293239915138e-23,-7.971930335880782e-23
-4.711967467875,-9.829203174845214e-24,-7.988072370555983e-23
-4.71172332725,-8.600739823402641e-24,-8.002328984886122e-23
-4.711479186625,-7.370193111081133e-24,-8.014696704490397e-23
-4.711235046,-6.1378534094768085e-24,-8.025172422331779e-23
-4.710990905375,-4.904011591756263e-24,-8.033753524402955e-23
-4.71074676475,-3.668958913869299e-24,-8.040437840973896e-23
-4.710502624125,-2.432986945721681e-24,-8.04522364002321e-23
-4.7102584835,-1.19638750446421e-24,-8.048109616265676e-23
-4.710014342875,4.054739679071371e-26,-8.049094961281451e-23
-4.70977020225,1.2775256412912804e-24,-8.048179288766948e-23
-4.709526061625,2.51425506180779e-24,-8.045362647797477e-23
-4.709281921,3.750443533381092e-24,-8.040645583691279e-23
-4.709037780375,4.9857989921679006e-24,-8.034029016243967e-23
-4.70879363975,6.2200295663875616e-24,-8.025514381018545e-23
-4.708549499125,7.45284359804278e-24,-8.015103527673452e-23
-4.7083053585,8.683949745190709e-24,-8.002798774741649e-23
-4.708061217875,9.913057023637888e-24,-7.988602874956645e-23
-4.70781707725,1.113987486085294e-23,-7.972519007710273e-23
-4.707572936625,1.2364113280162622e-23,-7.954550864970447e-23
-4.707328796,1.358548275473795e-23,-7.934702498066181e-23
-4.707084655375,1.4803694536933986e-23,-7.912978487710366e-23
-4.70684051475,1.6018460437788403e-23,-7.889383772564745e-23
-4.706596374125,1.7229493196478227e-23,-7.863923810387248e-23
-4.7063522335,1.8436506330572464e-23,-7.83660446425712e-23
-4.706108092875,1.9639214245273095e-23,-7.807432027767598e-23
-4.70586395225,2.0837332396155298e-23,-7.776413257219155e-23
-4.705619811625,2.2030577245431372e-23,-7.74355533295656e-23
-4.705375671,2.321866636566506e-23,-7.708865863850835e-23
-4.705131530375,2.4401318592276716e-23,-7.672352923186636e-23
-4.70488738975,2.5578253923380215e-23,-7.63402498223666e-23
