t,hp,hc
-8.193195343,-9.152711088224436e-23,-1.0600823145148984e-23
-8.192951202375,-9.135436781886469e-23,-1.2003703602314594e-23
-8.19270706175,-9.116012096374975e-23,-1.3403792712239328e-23
-8.192462921125,-9.094441551411417e-23,-1.4800763472706204e-23
-8.1922187805,-9.07073002925591e-23,-1.6194286500027077e-23
-8.191974639875,-9.044883051220419e-23,-1.7584033405492074e-23
-8.19173049925,-9.016906626011752e-23,-1.8969676654715546e-23
-8.191486358625,-8.986807183384111e-23,-2.0350889565913695e-23
-8.191242218,-8.954591793913571e-23,-2.1727347001979472e-23
-8.190998077375,-8.920267877198266e-23,-2.309872460760843e-23
-8.19075393675,-8.883843410441693e-23,-2.4464699339224412e-23
-8.190509796125,-8.845326912808157e-23,-2.5824949532881747e-23
-8.1902656555,-8.804727357513844e-23,-2.717915476232925e-23
-8.190021514875,-8.762054140857038e-23,-2.8526995775583206e-23
-8.18977737425,-8.717317249603166e-23,-2.986815511058525e-23
-8.189533233625,-8.67052715881629e-23,-3.1202316889294105e-23
-8.189289093,-8.621694710446288e-23,-3.252916643911914e-23
-8.189044952375,-8.570831360842751e-23,-3.384839126469253e-23
-8.18880081175,-8.51794895933243e-23,-3.515968032518469e-23
-8.188556671125,-8.463059865408087e-23,-3.6462724549531134e-23
-8.1883125305,-8.406176921753737e-23,-3.775721684313861e-23
-8.188068389875,-8.347313419898618e-23,-3.904285200204509e-23
-8.18782424925,-8.286483143034164e-23,-4.0319327010490767e-23
-8.187580108625,-8.22370029227937e-23,-4.158634076315281e-23
-8.187335968,-8.15897955297217e-23,-4.2843594461957373e-23
-8.187091827375,-8.092336106779439e-23,-4.409079179695177e-23
-8.18684768675,-8.023785559119677e-23,-4.5327638663463455e-23
-8.186603546125,-7.953343912576633e-23,-4.6553843067576935e-23
-8.1863594055,-7.881027712419472e-23,-4.7769116039759885e-23
-8.186115264875,-7.806853867900375e-23,-4.8973170710691965e-23
-8.18587112425,-7.730839793271495e-23,-5.016572323379145e-23
-8.185626983625,-7.653003264340415e-23,-5.1346491985283647e-23
-8.185382843,-7.57336256309917e-23,-5.2515198595712385e-23
-8.185138702375,-7.491936330069962e-23,-5.367156706620076e-23
-8.18489456175,-7.408743652948801e-23,-5.48153244361304e-23
-8.184650421125,-7.323804091298048e-23,-5.594620111808969e-23
-8.1844062805,-7.237137517344445e-23,-5.706392979118454e-23
-8.184162139875,-7.148764272255554e-23,-5.816824666384805e-23
-8.18391799925,-7.058705110056277e-23,-5.925889117074961e-23
-8.183673858625,-6.966981154419312e-23,-6.033560571950836e-23
-8.183429718,-6.87361394319667e-23,-6.139813615931709e-23
-8.183185577375,-6.778625335465225e-23,-6.244623105001487e-23
