t,hp,hc
-6.746887207,-1.8275960370331965e-22,-2.2641954983341508e-23
-6.746643066375,-1.823923204971466e-22,-2.5443124366371845e-23
-6.74639892575,-1.819820999466076e-22,-2.823838688440239e-23
-6.746154785125,-1.815290367973105e-22,-3.1027090653536113e-23
-6.7459106445,-1.8103323393593248e-22,-3.380857801223015e-23
-6.745666503875,-1.8049480603921436e-22,-3.658219322723303e-23
-6.74542236325,-1.7991387801379215e-22,-3.934728240821675e-23
-6.745178222625,-1.79290583618911e-22,-4.210319349373523e-23
-6.744934082,-1.7862506800512368e-22,-4.4849277348674687e-23
-6.744689941375,-1.7791748437958098e-22,-4.758488674606285e-23
-6.74444580075,-1.7716799806855957e-22,-5.030937743091842e-23
-6.744201660125,-1.763767824112545e-22,-5.302210723876503e-23
-6.7439575195,-1.7554402138265417e-22,-5.572243692114916e-23
-6.743713378875,-1.7466990934035124e-22,-5.840973028284313e-23
-6.74346923825,-1.7375464863171928e-22,-6.108335358817847e-23
-6.743225097625,-1.7279845308055916e-22,-6.374267683641409e-23
-6.742980957,-1.7180154602630778e-22,-6.638707333547214e-23
-6.742736816375,-1.7076415856539332e-22,-6.901591914901683e-23
-6.74249267575,-1.6968653321050523e-22,-7.162859464760062e-23
-6.742248535125,-1.685689220810179e-22,-7.422448403303945e-23
-6.7420043945,-1.674115851387541e-22,-7.680297475025245e-23
-6.741760253875,-1.6621479322551628e-22,-7.936345891148852e-23
-6.74151611325,-1.6497882587246171e-22,-8.190533257662223e-23
-6.741271972625,-1.63703971378487e-22,-8.442799586630524e-23
-6.741027832,-1.6239052847242372e-22,-8.693085402228212e-23
-6.740783691375,-1.6103880376984494e-22,-8.941331626758101e-23
-6.74053955075,-1.5964911363707113e-22,-9.187479694612257e-23
-6.740295410125,-1.5822178324599253e-22,-9.431471522528187e-23
-6.7400512695,-1.5675714643103697e-22,-9.673249514476292e-23
-6.739807128875,-1.5525554620514191e-22,-9.912756615235004e-23
-6.73956298825,-1.53717333635436e-22,-1.0149936253667438e-22
-6.739318847625,-1.5214286958466042e-22,-1.0384732479925786e-22
-6.739074707,-1.5053252281341533e-22,-1.061708985439754e-22
-6.738830566375,-1.488866703776105e-22,-1.0846953495412976e-22
-6.73858642575,-1.4720569733723886e-22,-1.1074269070884795e-22
-6.738342285125,-1.4548999865082318e-22,-1.1298982964003322e-22
-6.7380981445,-1.4373997614588397e-22,-1.1521042066697944e-22
-6.737854003875,-1.4195604003036967e-22,-1.174039391034382e-22
-6.73760986325,-1.401386085962317e-22,-1.1956986665088179e-22
-6.737365722625,-1.3828810841292992e-22,-1.2170769175632463e-22
-6.737121582,-1.3640497336861145e-22,-1.2381690902672529e-22
-6.736877441375,-1.3448964471732148e-22,-1.2589701941295904e-22
-6.73663330075,-1.3254257266693494e-22,-1.279475318912823e-22
-6.736389160125,-1.305642139807215e-22,-1.2996796153246815e-22
-6.7361450195,-1.285550327138145e-22,-1.3195783028606735e-22
-6.735900878875,-1.265155009980985e-22,-1.339166680605318e-22
-6.73565673825,-1.2444609740046007e-22,-1.358440112700684e-22
-6.735412597625,-1.2234730742627972e-22,-1.377394035130175e-22
-6.735168457,-1.2021962487906842e-22,-1.3960239738132127e-22
-6.734924316375,-1.1806354858566265e-22,-1.4143255099800858e-22
-6.73468017575,-1.158795858334932e-22,-1.4322943218363574e-22
-6.734436035125,-1.1366824894255149e-22,-1.4499261469797963e-22
-6.7341918945,-1.1143005805593438e-22,-1.4672168180557567e-22
-6.733947753875,-1.0916553876635846e-22,-1.4841622363682895e-22
-6.73370361325,-1.0687522340183446e-22,-1.5007583903709945e-22
-6.733459472625,-1.0455965037396049e-22,-1.517001350236152e-22
-6.733215332,-1.0221936384497682e-22,-1.5328872652745149e-22
-6.732971191375,-9.985491414515731e-23,-1.5484123733423693e-22
-6.73272705075,-9.74668570628871e-23,-1.5635729925742772e-22
-6.732482910125,-9.505575431133053e-23,-1.5783655314275942e-22
-6.7322387695,-9.262217272155018e-23,-1.5927864794138263e-22
-6.731994628875,-9.016668467062409e-23,-1.606832416034144e-22
-6.73175048825,-8.768986811394771e-23,-1.6205000162357242e-22
-6.731506347625,-8.519230483477881e-23,-1.6337860203245572e-22
-6.731262207,-8.267458358339204e-23,-1.646687296881635e-22
-6.731018066375,-8.013729563488213e-23,-1.6592007606744221e-22
-6.73077392575,-7.758103879328451e-23,-1.6713234547396524e-22
-6.730529785125,-7.500641451446381e-23,-1.6830524966408286e-22
-6.7302856445,-7.241402857963994e-23,-1.6943850952781566e-22
-6.730041503875,-6.980449119723126e-23,-1.705318556207806e-22
-6.72979736325,-6.717841664810358e-23,-1.7158502788930655e-22
-6.729553222625,-6.453642321561029e-23,-1.7259777581227975e-22
-6.729309082,-6.18791331468033e-23,-1.7356985889412663e-22
-6.729064941375,-5.920717170309331e-23,-1.7450104437499987e-22
-6.72882080075,-5.652116849632584e-23,-1.7539111150877075e-22
-6.728576660125,-5.382175584578331e-23,-1.7623984727677407e-22
-6.7283325195,-5.1109569795805726e-23,-1.7704705004497333e-22
-6.728088378875,-4.838524896319476e-23,-1.7781252627124516e-22
-6.72784423825,-4.5649435241562777e-23,-1.7853609350883073e-22
-6.727600097625,-4.290277315567616e-23,-1.7921757870837975e-22
-6.727355957,-4.01459097744372e-23,-1.7985681842010247e-22
-6.727111816375,-3.7379494875000815e-23,-1.8045366024532824e-22
-6.72686767575,-3.4604180198909506e-23,-1.8100796022823814e-22
-6.726623535125,-3.1820619902809854e-23,-1.8151958564855464e-22
-6.7263793945,-2.9029470041356414e-23,-1.819884133544214e-22
-6.726135253875,-2.6231388513508215e-23,-1.8241433027427633e-22
-6.72589111325,-2.3427034941805158e-23,-1.8279723369569801e-22
-6.725646972625,-2.0617070371083008e-23,-1.8313703013794792e-22
-6.725402832,-1.7802157426728638e-23,-1.8343363782769613e-22
-6.725158691375,-1.4982959816672763e-23,-1.8368698417850443e-22
-6.72491455075,-1.2160142330942432e-23,-1.8389700689233227e-22
-6.724670410125,-9.334370667404426e-24,-1.8406365376286988e-22
-6.7244262695,-6.5063113236717544e-24,-1.8418688366965037e-22
-6.724182128875,-3.676631319981422e-24,-1.8426666416332993e-22
-6.72393798825,-8.459981711839038e-25,-1.8430297433897198e-22
-6.723693847625,1.984920344222686e-24,-1.842958035577573e-22
-6.723449707,4.8154563319591164e-24,-1.8424515074813604e-22
-6.723205566375,7.644941906523781e-24,-1.8415102472838807e-22
-6.72296142575,1.0472709414220292e-23,-1.8401344608255647e-22
-6.722717285125,1.329809159135465e-23,-1.8383244560398896e-22
-6.7224731445,1.6120421520365577e-23,-1.83608061674941e-22
-6.722229003875,1.8939033100122896e-23,-1.8334034573089982e-22
-6.72198486325,2.1753260962292893e-23,-1.8302935809851206e-22
-6.721740722625,2.456244085438477e-23,-1.8267517048946173e-22
-6.721496582,2.7365909516023065e-23,-1.8227786360721844e-22
-6.721252441375,3.0163004986775526e-23,-1.8183752848284033e-22
-6.72100830075,3.295306684768758e-23,-1.8135426695304266e-22
-6.720764160125,3.573543616425781e-23,-1.80828190241932e-22
-6.7205200195,3.8509456115365234e-23,-1.8025942147028475e-22
-6.720275878875,4.127447104558175e-23,-1.7964809017659724e-22
-6.72003173825,4.402982822494999e-23,-1.7899434007233737e-22
-6.719787597625,4.677487648111213e-23,-1.7829832183967347e-22
-6.719543457,4.9508967524889084e-23,-1.7756019828241996e-22
-6.719299316375,5.2231455235955794e-23,-1.7678014068374762e-22
-6.71905517575,5.494169640846783e-23,-1.759583311240301e-22
-6.718811035125,5.76390505849721e-23,-1.7509496119316588e-22
-6.7185668945,6.032288025952496e-23,-1.7419023224356317e-22
-6.718322753875,6.299255106247772e-23,-1.7324435536852622e-22
-6.71807861325,6.564743188133953e-23,-1.7225755137166985e-22
-6.717834472625,6.828689527627904e-23,-1.7123005132162716e-22
-6.717590332,7.09103173545007e-23,-1.7016209577017782e-22
-6.717346191375,7.351707758156341e-23,-1.6905393390350002e-22
-6.71710205075,7.61065596738402e-23,-1.6790582536482952e-22
-6.716857910125,7.867815121500209e-23,-1.6671803882163e-22
-6.7166137695,8.123124416317335e-23,-1.6549085281859956e-22
-6.716369628875,8.376523441980925e-23,-1.6422455440400836e-22
-6.71612548825,8.627952279750306e-23,-1.6291944080017966e-22
-6.715881347625,8.877351420463343e-23,-1.6157581746754893e-22
-6.715637207,9.12466187989002e-23,-1.6019399991899494e-22
-6.715393066375,9.369825138854512e-23,-1.5877431227123144e-22
-6.71514892575,9.612783161236855e-23,-1.5731708729913141e-22
-6.714904785125,9.85347844954874e-23,-1.5582266706961056e-22
-6.7146606445,1.0091854069527197e-22,-1.542914029697275e-22
-6.714416503875,1.0327853566478473e-22,-1.5272365411374346e-22
-6.71417236325,1.0561421068114006e-22,-1.511197886578881e-22
-6.713928222625,1.0792501247330204e-22,-1.4948018302933826e-22
-6.713684082,1.1021039444911898e-22,-1.4780522326182424e-22
-6.713439941375,1.124698151343426e-22,-1.460953026060999e-22
-6.71319580075,1.1470273898511533e-22,-1.4435082243811578e-22
-6.712951660125,1.1690863768027802e-22,-1.4257219363177067e-22
-6.7127075195,1.1908698821184815e-22,-1.4075983385023928e-22
-6.712463378875,1.2123727445507507e-22,-1.3891416930189878e-22
-6.71221923825,1.233589873411058e-22,-1.3703563461391937e-22
-6.711975097625,1.254516235505966e-22,-1.3512467113341204e-22
-6.711730957,1.275146870748637e-22,-1.331817284582619e-22
-6.711486816375,1.2954768933286102e-22,-1.3120726428155542e-22
-6.71124267575,1.3155014790679372e-22,-1.292017428223382e-22
-6.710998535125,1.3352158817828956e-22,-1.271656363428117e-22
-6.7107543945,1.3546154212182578e-22,-1.250994236887018e-22
-6.710510253875,1.3736955063860646e-22,-1.2300359228687142e-22
-6.71026611325,1.3924516003547261e-22,-1.2087863466225291e-22
-6.710021972625,1.4108792578647165e-22,-1.187250516830498e-22
-6.709777832,1.4289741077119095e-22,-1.165433507042365e-22
-6.709533691375,1.4467318525582527e-22,-1.1433404540873055e-22
-6.70928955075,1.4641482771939138e-22,-1.1209765630358083e-22
-6.709045410125,1.4812192498806514e-22,-1.0983471054544215e-22
-6.7088012695,1.4979407128198688e-22,-1.0754574107491607e-22
-6.708557128875,1.5143086972167015e-22,-1.0523128752534704e-22
-6.70831298825,1.530319312372206e-22,-1.0289189523229369e-22
-6.708068847625,1.5459687547256045e-22,-1.0052811568437754e-22
-6.707824707,1.5612533141487505e-22,-9.814050670559739e-23
-6.707580566375,1.5761693416699088e-22,-9.572963022239098e-23
-6.70733642575,1.590713306672807e-22,-9.329605568407187e-23
-6.707092285125,1.6048817388903867e-22,-9.084035628409243e-23
-6.7068481445,1.6186712766137934e-22,-8.8363111679101e-23
-6.706604003875,1.6320786293491624e-22,-8.586490565758181e-23
-6.70635986325,1.645100610812983e-22,-8.334632778599541e-23
-6.706115722625,1.657734126486146e-22,-8.080797252530364e-23
-6.705871582,1.6699761606112507e-22,-7.825043840955467e-23
-6.705627441375,1.681823802246443e-22,-7.567432916866699e-23
-6.70538330075,1.6932742269388293e-22,-7.308025267117423e-23
-6.705139160125,1.704324702614457e-22,-7.046882102492116e-23
-6.7048950195,1.7149725938324645e-22,-6.78406506094498e-23
-6.704650878875,1.7252153634118917e-22,-6.519636194256843e-23
-6.70440673825,1.735050564512981e-22,-6.253657918403158e-23
-6.704162597625,1.7444758541812226e-22,-5.986193049988354e-23
-6.703918457,1.7534889754289655e-22,-5.717304722576245e-23
-6.703674316375,1.762087771472993e-22,-5.44705642564323e-23
-6.70343017575,1.770270190016515e-22,-5.1755119953487344e-23
-6.703186035125,1.778034274502828e-22,-4.902735569217708e-23
-6.7029418945,1.7853781570629515e-22,-4.6287915559874884e-23
-6.702697753875,1.7923000828885886e-22,-4.3537446838905307e-23
