t,hp,hc
-5.653770447,-1.2243586893388351e-22,-1.6402914480462688e-23
-5.653526306375,-1.2217106871498683e-22,-1.8279431786035613e-23
-5.65328216575,-1.2187750494243625e-22,-2.0151711460293437e-23
-5.653038025125,-1.2155524430601046e-22,-2.2019317450217334e-23
-5.6527938845,-1.2120436041786013e-22,-2.3881809223944444e-23
-5.652549743875,-1.2082493433330993e-22,-2.5738747537231534e-23
-5.65230560325,-1.2041705346186558e-22,-2.758969435089988e-23
-5.652061462625,-1.199808118202302e-22,-2.943421305238145e-23
-5.651817322,-1.1951631007421158e-22,-3.127186887910852e-23
-5.651573181375,-1.1902365619805879e-22,-3.3102228895099284e-23
-5.65132904075,-1.185029637406551e-22,-3.492486157951524e-23
-5.651084900125,-1.179543538301184e-22,-3.673933743202148e-23
-5.6508407595,-1.1737795336897964e-22,-3.854522860857195e-23
-5.650596618875,-1.1677389652733371e-22,-4.0342109459795004e-23
-5.65035247825,-1.1614232351045083e-22,-4.2129556256549995e-23
-5.650108337625,-1.1548338132840221e-22,-4.3907147567122485e-23
-5.649864197,-1.147972229342323e-22,-4.567446402669733e-23
-5.649620056375,-1.140840086316067e-22,-4.743108903029217e-23
-5.64937591575,-1.1334390402743604e-22,-4.9176607999108664e-23
-5.649131775125,-1.125770818882277e-22,-5.091060927422076e-23
-5.6488876345,-1.1178372093361105e-22,-5.263268371173245e-23
-5.648643493875,-1.1096400630038552e-22,-5.434242501076199e-23
-5.64839935325,-1.1011812889537975e-22,-5.603942950208441e-23
-5.648155212625,-1.0924628648633547e-22,-5.772329681665174e-23
-5.647911072,-1.083486827282711e-22,-5.939362952773873e-23
-5.647666931375,-1.074255272393717e-22,-6.105003328980454e-23
-5.64742279075,-1.0647703563025769e-22,-6.269211695848933e-23
-5.647178650125,-1.05503429567995e-22,-6.431949277012047e-23
-5.6469345095,-1.0450493686567417e-22,-6.593177651378608e-23
-5.646690368875,-1.0348179109688368e-22,-6.752858741565036e-23
-5.64644622825,-1.0243423121429231e-22,-6.910954802265926e-23
-5.646202087625,-1.0136250302288152e-22,-7.067428529397616e-23
-5.645957947,-1.002668567718942e-22,-7.222242910141316e-23
-5.645713806375,-9.914754892530012e-23,-7.375361355775329e-23
-5.64546966575,-9.80048422100185e-23,-7.526747722337138e-23
-5.645225525125,-9.68390037750302e-23,-7.67636618828397e-23
-5.6449813845,-9.565030673872293e-23,-7.8241813804231e-23
-5.644737243875,-9.443903003146988e-23,-7.970158380568016e-23
-5.64449310325,-9.32054573414823e-23,-8.114262652609882e-23
-5.644248962625,-9.19498776829006e-23,-8.256460100456124e-23
-5.644004822,-9.067258559751689e-23,-8.396717101143208e-23
-5.643760681375,-8.937388041089981e-23,-8.535000452443738e-23
-5.64351654075,-8.805406716583023e-23,-8.67127747568681e-23
-5.643272400125,-8.671345504794029e-23,-8.805515878328086e-23
-5.6430282595,-8.535235912419513e-23,-8.937683940572717e-23
-5.642784118875,-8.397109802718102e-23,-9.06775029287717e-23
-5.64253997825,-8.256999640122839e-23,-9.195684185650531e-23
-5.642295837625,-8.11493832790051e-23,-9.321455338149664e-23
-5.642051697,-7.970959203690976e-23,-9.445033943950633e-23
-5.641807556375,-7.825096049377282e-23,-9.566390694669983e-23
-5.64156341575,-7.677383173834929e-23,-9.685496899722968e-23
-5.641319275125,-7.527855215641509e-23,-9.802324260458381e-23
-5.6410751345,-7.376547337416195e-23,-9.916845130641695e-23
-5.640830993875,-7.22349509259313e-23,-1.0029032363546982e-22
-5.64058685325,-7.068734419749545e-23,-1.013885931971399e-22
-5.640342712625,-6.912301702616412e-23,-1.0246299965668543e-22
-5.640098572,-6.75423370235644e-23,-1.0351328800881756e-22
-5.639854431375,-6.594567583372585e-23,-1.0453920909735619e-22
-5.63961029075,-6.43334088410542e-23,-1.0554051940867193e-22
-5.639366150125,-6.270591516372477e-23,-1.0651698123749662e-22
-5.6391220095,-6.106357747797848e-23,-1.074683625917011e-22
-5.638877868875,-5.940678199914515e-23,-1.0839443736790565e-22
-5.63863372825,-5.773591837646132e-23,-1.0929498535774614e-22
-5.638389587625,-5.605137994758206e-23,-1.1016979301151969e-22
-5.638145447,-5.435356286072757e-23,-1.110186519516983e-22
-5.637901306375,-5.2642866535860155e-23,-1.1184136008096835e-22
-5.63765716575,-5.091969371054379e-23,-1.1263772195527385e-22
-5.637413025125,-4.9184449794372896e-23,-1.1340754766212771e-22
-5.6371688845,-4.743754340394675e-23,-1.1415065423167568e-22
-5.636924743875,-4.567938562945635e-23,-1.1486686427640973e-22
-5.63668060325,-4.391039039577814e-23,-1.15556007015025e-22
-5.636436462625,-4.213097437490604e-23,-1.1621791845278184e-22
-5.636192322,-4.034155653664097e-23,-1.168524405050922e-22
-5.635948181375,-3.8542558146833585e-23,-1.174594211606503e-22
-5.63570404075,-3.673440313503632e-23,-1.1803871598022028e-22
-5.635459900125,-3.4917517380585255e-23,-1.1859018629732154e-22
-5.6352157595,-3.3092328855713944e-23,-1.1911369994141236e-22
-5.634971618875,-3.125926758929696e-23,-1.196091314740761e-22
-5.63472747825,-2.9418765636385293e-23,-1.200763626064335e-22
-5.634483337625,-2.7571256604666477e-23,-1.20515280708653e-22
-5.634239197,-2.5717175991761346e-23,-1.2092578061727263e-22
-5.633995056375,-2.385696082237929e-23,-1.213077635859866e-22
-5.63375091575,-2.1991049513689853e-23,-1.216611371016392e-22
-5.633506775125,-2.0119882054722056e-23,-1.219858163225989e-22
-5.6332626345,-1.8243899565366118e-23,-1.2228172228296674e-22
