t,hp,hc
-5.015716553,-3.253169794349206e-22,-4.5524601028344736e-23
-5.015472412375,-3.245840113248332e-22,-5.051052088743962e-23
-5.01522827175,-3.2377461677486735e-22,-5.548474526934099e-23
-5.014984131125,-3.228889788693227e-22,-6.04461170152013e-23
-5.0147399905,-3.219273004505699e-22,-6.539346559594397e-23
-5.014495849875,-3.2088980285551962e-22,-7.032562377132284e-23
-5.01425170925,-3.1977672354701365e-22,-7.524142737840697e-23
-5.014007568625,-3.1858831994822733e-22,-8.013971669860867e-23
-5.013763428,-3.173248666380557e-22,-8.501933712912254e-23
-5.013519287375,-3.1598665470503016e-22,-8.98791383336198e-23
-5.01327514675,-3.1457399388721355e-22,-9.471797474458779e-23
-5.013031006125,-3.1308721061053784e-22,-9.953470537470855e-23
-5.0127868655,-3.115266497818865e-22,-1.0432819459540441e-22
-5.012542724875,-3.098926741165023e-22,-1.0909731231415235e-22
-5.01229858425,-3.0818566101555004e-22,-1.138409331115612e-22
-5.012054443625,-3.064060080768105e-22,-1.1855793847756127e-22
-5.011810303,-3.045541286678836e-22,-1.2324721556520334e-22
-5.011566162375,-3.0263045364918947e-22,-1.279076581122323e-22
-5.01132202175,-3.0063543076976434e-22,-1.3253816651456378e-22
-5.011077881125,-2.9856952366831436e-22,-1.3713764763631117e-22
-5.0108337405,-2.964332138853193e-22,-1.4170501604063557e-22
-5.010589599875,-2.942269996645068e-22,-1.462391938127196e-22
-5.01034545925,-2.919513951408606e-22,-1.5073911041284173e-22
-5.010101318625,-2.8960693104762587e-22,-1.5520370335813573e-22
-5.009857178,-2.87194153961034e-22,-1.596319181195656e-22
-5.009613037375,-2.8471362708458783e-22,-1.6402270886725912e-22
-5.00936889675,-2.8216593046190755e-22,-1.6837503895133283e-22
-5.009124756125,-2.7955165821300273e-22,-1.7268787961028041e-22
-5.0088806155,-2.768714217527024e-22,-1.769602121448061e-22
-5.008636474875,-2.741258472989945e-22,-1.8119102679218813e-22
-5.00839233425,-2.7131557718057783e-22,-1.8537932389690812e-22
-5.008148193625,-2.6844126794384576e-22,-1.8952411294306713e-22
-5.007904053,-2.65503592759498e-22,-1.9362441457483094e-22
-5.007659912375,-2.6250323785602163e-22,-1.9767925842047105e-22
-5.00741577175,-2.59440906434287e-22,-2.0168768625458415e-22
-5.007171631125,-2.563173153413767e-22,-2.0564874993172073e-22
-5.0069274905,-2.5313319591475576e-22,-2.0956151233530492e-22
-5.006683349875,-2.4988929445146564e-22,-2.1342504815188367e-22
-5.00643920925,-2.465863697071651e-22,-2.172384421055845e-22
-5.006195068625,-2.4322519635765016e-22,-2.2100079224895902e-22
-5.005950928,-2.398065623630635e-22,-2.2471120816067143e-22
-5.005706787375,-2.3633126864992795e-22,-2.283688109312109e-22
-5.00546264675,-2.32800130382793e-22,-2.3197273473241166e-22
-5.005218506125,-2.292139760156543e-22,-2.3552212636330093e-22
-5.0049743655,-2.255736457894858e-22,-2.3901614411628923e-22
-5.004730224875,-2.2187999465570036e-22,-2.4245396109023797e-22
-5.00448608425,-2.181338886705728e-22,-2.458347619350101e-22
-5.004241943625,-2.1433620700826336e-22,-2.491577453159794e-22
-5.003997803,-2.1048784128145968e-22,-2.5242212366654694e-22
