t strain*1e23
-0.617 17.8
-0.61676 16.9
-0.61652 15.9
-0.61627 14.9
-0.61603 13.9
-0.61578 12.8
-0.61554 11.7
-0.6153 10.7
-0.61505 9.6
-0.61481 8.5
-0.61456 7.3
-0.61432 6.2
-0.61407 5.1
-0.61383 3.9
-0.61359 2.8
-0.61334 1.6
-0.6131 0.5
-0.61285 -0.7
-0.61261 -1.8
-0.61237 -3.0
-0.61212 -4.1
-0.61188 -5.3
-0.61163 -6.4
-0.61139 -7.6
-0.61115 -8.7
-0.6109 -9.8
-0.61066 -10.9
-0.61041 -12.0
-0.61017 -13.0
-0.60992 -14.1
-0.60968 -15.1
-0.60944 -16.2
-0.60919 -17.1
-0.60895 -18.1
-0.6087 -19.1
-0.60846 -20.0
-0.60822 -20.9
-0.60797 -21.8
-0.60773 -22.6
-0.60748 -23.4
-0.60724 -24.2
-0.60699 -25.0
-0.60675 -25.7
-0.60651 -26.4
-0.60626 -27.0
-0.60602 -27.6
-0.60577 -28.2
-0.60553 -28.8
-0.60529 -29.3
-0.60504 -29.7
-0.6048 -30.2
-0.60455 -30.5
-0.60431 -30.9
-0.60406 -31.2
-0.60382 -31.5
-0.60358 -31.7
-0.60333 -31.9
-0.60309 -32.0
-0.60284 -32.1
-0.6026 -32.2
-0.60236 -32.2
-0.60211 -32.2
-0.60187 -32.1
-0.60162 -32.0
-0.60138 -31.9
-0.60114 -31.7
-0.60089 -31.4
-0.60065 -31.1
-0.6004 -30.8
-0.60016 -30.5
-0.59991 -30.1
-0.59967 -29.6
-0.59943 -29.2
-0.59918 -28.6
-0.59894 -28.1
-0.59869 -27.5
-0.59845 -26.9
-0.59821 -26.2
-0.59796 -25.5
-0.59772 -24.8
-0.59747 -24.0
-0.59723 -23.2
-0.59698 -22.4
-0.59674 -21.5
-0.5965 -20.6
-0.59625 -19.7
-0.59601 -18.8
-0.59576 -17.8
-0.59552 -16.8
-0.59528 -15.8
-0.59503 -14.7
-0.59479 -13.7
-0.59454 -12.6
-0.5943 -11.5
-0.59406 -10.4
-0.59381 -9.3
-0.59357 -8.2
-0.59332 -7.0
-0.59308 -5.9
-0.59283 -4.7
-0.59259 -3.5
-0.59235 -2.4
-0.5921 -1.2
-0.59186 0.0
-0.59161 1.2
-0.59137 2.4
-0.59113 3.5
-0.59088 4.7
-0.59064 5.9
-0.59039 7.0
-0.59015 8.2
-0.5899 9.3
-0.58966 10.4
-0.58942 11.6
-0.58917 12.7
-0.58893 13.7
-0.58868 14.8
-0.58844 15.9
-0.5882 16.9
-0.58795 17.9
-0.58771 18.9
-0.58746 19.8
-0.58722 20.7
-0.58698 21.6
-0.58673 22.5
-0.58649 23.3
-0.58624 24.2
-0.586 24.9
-0.58575 25.7
-0.58551 26.4
-0.58527 27.1
-0.58502 27.7
-0.58478 28.3
-0.58453 28.9
-0.58429 29.4
-0.58405 29.9
-0.5838 30.3
-0.58356 30.7
-0.58331 31.1
-0.58307 31.4
-0.58282 31.7
-0.58258 31.9
-0.58234 32.1
-0.58209 32.3
-0.58185 32.4
-0.5816 32.5
-0.58136 32.5
-0.58112 32.4
-0.58087 32.4
-0.58063 32.3
-0.58038 32.1
-0.58014 31.9
-0.5799 31.7
-0.57965 31.4
-0.57941 31.1
-0.57916 30.7
-0.57892 30.3
-0.57867 29.8
-0.57843 29.3
-0.57819 28.8
-0.57794 28.2
-0.5777 27.6
-0.57745 27.0
-0.57721 26.3
-0.57697 25.6
-0.57672 24.8
-0.57648 24.0
-0.57623 23.2
-0.57599 22.4
-0.57574 21.5
-0.5755 20.6
-0.57526 19.6
-0.57501 18.7
-0.57477 17.7
-0.57452 16.6
-0.57428 15.6
-0.57404 14.5
-0.57379 13.5
-0.57355 12.4
-0.5733 11.2
-0.57306 10.1
-0.57281 9.0
-0.57257 7.8
-0.57233 6.6
-0.57208 5.4
-0.57184 4.2
-0.57159 3.1
-0.57135 1.9
-0.57111 0.6
-0.57086 -0.6
-0.57062 -1.8
-0.57037 -3.0
-0.57013 -4.2
-0.56989 -5.4
-0.56964 -6.5
-0.5694 -7.7
-0.56915 -8.9
-0.56891 -10.0
-0.56866 -11.2
-0.56842 -12.3
-0.56818 -13.4
-0.56793 -14.5
-0.56769 -15.6
-0.56744 -16.6
-0.5672 -17.7
-0.56696 -18.7
-0.56671 -19.7
-0.56647 -20.6
-0.56622 -21.5
-0.56598 -22.4
-0.56573 -23.3
-0.56549 -24.1
-0.56525 -24.9
-0.565 -25.7
-0.56476 -26.5
-0.56451 -27.1
-0.56427 -27.8
-0.56403 -28.4
-0.56378 -29.0
-0.56354 -29.6
-0.56329 -30.1
-0.56305 -30.5
-0.56281 -30.9
-0.56256 -31.3
-0.56232 -31.6
-0.56207 -31.9
-0.56183 -32.2
-0.56158 -32.4
-0.56134 -32.5
-0.5611 -32.7
-0.56085 -32.7
-0.56061 -32.7
-0.56036 -32.7
-0.56012 -32.6
-0.55988 -32.5
-0.55963 -32.4
-0.55939 -32.2
-0.55914 -31.9
-0.5589 -31.6
-0.55865 -31.3
-0.55841 -30.9
-0.55817 -30.5
-0.55792 -30.0
-0.55768 -29.5
-0.55743 -29.0
-0.55719 -28.4
-0.55695 -27.7
-0.5567 -27.1
-0.55646 -26.4
-0.55621 -25.6
-0.55597 -24.8
-0.55573 -24.0
-0.55548 -23.2
-0.55524 -22.3
-0.55499 -21.4
-0.55475 -20.5
-0.5545 -19.5
-0.55426 -18.5
-0.55402 -17.5
-0.55377 -16.4
-0.55353 -15.3
-0.55328 -14.3
-0.55304 -13.1
-0.5528 -12.0
-0.55255 -10.9
-0.55231 -9.7
-0.55206 -8.5
-0.55182 -7.3
-0.55157 -6.1
-0.55133 -4.9
-0.55109 -3.7
-0.55084 -2.5
-0.5506 -1.2
-0.55035 0.0
-0.55011 1.2
-0.54987 2.5
-0.54962 3.7
-0.54938 4.9
-0.54913 6.1
-0.54889 7.3
-0.54865 8.5
-0.5484 9.7
-0.54816 10.9
-0.54791 12.0
-0.54767 13.2
-0.54742 14.3
-0.54718 15.4
-0.54694 16.5
-0.54669 17.5
-0.54645 18.6
-0.5462 19.6
-0.54596 20.6
-0.54572 21.5
-0.54547 22.4
-0.54523 23.3
-0.54498 24.2
-0.54474 25.0
-0.54449 25.8
-0.54425 26.6
-0.54401 27.3
-0.54376 28.0
-0.54352 28.6
-0.54327 29.2
-0.54303 29.8
-0.54279 30.3
-0.54254 30.7
-0.5423 31.2
-0.54205 31.6
-0.54181 31.9
-0.54156 32.2
-0.54132 32.5
-0.54108 32.7
-0.54083 32.8
-0.54059 32.9
-0.54034 33.0
-0.5401 33.0
-0.53986 33.0
-0.53961 32.9
-0.53937 32.8
-0.53912 32.6
-0.53888 32.4
-0.53864 32.1
-0.53839 31.8
-0.53815 31.5
-0.5379 31.1
-0.53766 30.7
-0.53741 30.2
-0.53717 29.6
-0.53693 29.1
-0.53668 28.5
-0.53644 27.8
-0.53619 27.1
-0.53595 26.4
-0.53571 25.6
-0.53546 24.8
-0.53522 24.0
-0.53497 23.1
-0.53473 22.2
-0.53448 21.2
-0.53424 20.3
-0.534 19.3
-0.53375 18.2
-0.53351 17.2
-0.53326 16.1
-0.53302 15.0
-0.53278 13.9
-0.53253 12.7
-0.53229 11.5
-0.53204 10.4
-0.5318 9.2
-0.53156 7.9
-0.53131 6.7
-0.53107 5.5
-0.53082 4.2
-0.53058 3.0
-0.53033 1.7
-0.53009 0.5
-0.52985 -0.8
-0.5296 -2.0
-0.52936 -3.3
-0.52911 -4.5
-0.52887 -5.8
-0.52863 -7.0
-0.52838 -8.2
-0.52814 -9.4
-0.52789 -10.7
-0.52765 -11.8
-0.5274 -13.0
-0.52716 -14.2
-0.52692 -15.3
-0.52667 -16.4
-0.52643 -17.5
-0.52618 -18.6
-0.52594 -19.6
-0.5257 -20.6
-0.52545 -21.6
-0.52521 -22.5
-0.52496 -23.4
-0.52472 -24.3
-0.52448 -25.2
-0.52423 -26.0
-0.52399 -26.7
-0.52374 -27.5
-0.5235 -28.2
-0.52325 -28.8
-0.52301 -29.4
-0.52277 -30.0
-0.52252 -30.5
-0.52228 -31.0
-0.52203 -31.5
-0.52179 -31.9
-0.52155 -32.2
-0.5213 -32.5
-0.52106 -32.8
-0.52081 -33.0
-0.52057 -33.1
-0.52032 -33.2
-0.52008 -33.3
-0.51984 -33.3
-0.51959 -33.3
-0.51935 -33.2
-0.5191 -33.0
-0.51886 -32.9
-0.51862 -32.6
-0.51837 -32.4
-0.51813 -32.0
-0.51788 -31.7
-0.51764 -31.2
-0.5174 -30.8
-0.51715 -30.3
-0.51691 -29.7
-0.51666 -29.1
-0.51642 -28.5
-0.51617 -27.8
-0.51593 -27.1
-0.51569 -26.3
-0.51544 -25.5
-0.5152 -24.7
-0.51495 -23.8
-0.51471 -22.9
-0.51447 -21.9
-0.51422 -21.0
-0.51398 -19.9
-0.51373 -18.9
-0.51349 -17.8
-0.51324 -16.7
-0.513 -15.6
-0.51276 -14.5
-0.51251 -13.3
-0.51227 -12.1
-0.51202 -10.9
-0.51178 -9.7
-0.51154 -8.5
-0.51129 -7.2
-0.51105 -6.0
-0.5108 -4.7
-0.51056 -3.4
-0.51031 -2.2
-0.51007 -0.9
-0.50983 0.4
-0.50958 1.7
-0.50934 3.0
-0.50909 4.3
-0.50885 5.5
-0.50861 6.8
-0.50836 8.0
-0.50812 9.3
-0.50787 10.5
-0.50763 11.7
-0.50739 12.9
-0.50714 14.1
-0.5069 15.3
-0.50665 16.4
-0.50641 17.5
-0.50616 18.6
-0.50592 19.7
-0.50568 20.7
-0.50543 21.7
-0.50519 22.7
-0.50494 23.6
-0.5047 24.5
-0.50446 25.4
-0.50421 26.2
-0.50397 27.0
-0.50372 27.8
-0.50348 28.5
-0.50323 29.1
-0.50299 29.8
-0.50275 30.3
-0.5025 30.9
-0.50226 31.4
-0.50201 31.8
-0.50177 32.2
-0.50153 32.5
-0.50128 32.8
-0.50104 33.1
-0.50079 33.3
-0.50055 33.4
-0.50031 33.5
-0.50006 33.6
-0.49982 33.6
-0.49957 33.5
-0.49933 33.4
-0.49908 33.3
-0.49884 33.1
-0.4986 32.8
-0.49835 32.5
-0.49811 32.2
-0.49786 31.8
-0.49762 31.3
-0.49738 30.9
-0.49713 30.3
-0.49689 29.7
-0.49664 29.1
-0.4964 28.4
