t strain*1e23
-0.47275 -53.9
-0.4725 -54.5
-0.47226 -55.0
-0.47202 -55.4
-0.47177 -55.8
-0.47153 -56.1
-0.47128 -56.3
-0.47104 -56.5
-0.47079 -56.6
-0.47055 -56.6
-0.47031 -56.5
-0.47006 -56.4
-0.46982 -56.2
-0.46957 -55.9
-0.46933 -55.6
-0.46909 -55.2
-0.46884 -54.7
-0.4686 -54.1
-0.46835 -53.5
-0.46811 -52.8
-0.46786 -52.1
-0.46762 -51.3
-0.46738 -50.4
-0.46713 -49.4
-0.46689 -48.4
-0.46664 -47.4
-0.4664 -46.2
-0.46616 -45.0
-0.46591 -43.8
-0.46567 -42.5
-0.46542 -41.1
-0.46518 -39.7
-0.46494 -38.3
-0.46469 -36.8
-0.46445 -35.2
-0.4642 -33.6
-0.46396 -32.0
-0.46371 -30.3
-0.46347 -28.6
-0.46323 -26.8
-0.46298 -25.0
-0.46274 -23.2
-0.46249 -21.3
-0.46225 -19.5
-0.46201 -17.6
-0.46176 -15.6
-0.46152 -13.7
-0.46127 -11.7
-0.46103 -9.7
-0.46078 -7.7
-0.46054 -5.7
-0.4603 -3.7
-0.46005 -1.7
-0.45981 0.4
-0.45956 2.4
-0.45932 4.4
-0.45908 6.4
-0.45883 8.5
-0.45859 10.5
-0.45834 12.4
-0.4581 14.4
-0.45786 16.4
-0.45761 18.3
-0.45737 20.2
-0.45712 22.1
-0.45688 24.0
-0.45663 25.8
-0.45639 27.6
-0.45615 29.4
-0.4559 31.1
-0.45566 32.8
-0.45541 34.5
-0.45517 36.1
-0.45493 37.6
-0.45468 39.1
-0.45444 40.6
-0.45419 42.0
-0.45395 43.4
-0.4537 44.7
-0.45346 45.9
-0.45322 47.1
-0.45297 48.2
-0.45273 49.3
-0.45248 50.3
-0.45224 51.2
-0.452 52.1
-0.45175 52.9
-0.45151 53.7
-0.45126 54.3
-0.45102 54.9
-0.45078 55.5
-0.45053 55.9
-0.45029 56.3
-0.45004 56.6
-0.4498 56.9
-0.44955 57.0
-0.44931 57.1
-0.44907 57.2
-0.44882 57.1
-0.44858 57.0
-0.44833 56.8
-0.44809 56.5
-0.44785 56.2
-0.4476 55.7
-0.44736 55.3
-0.44711 54.7
-0.44687 54.1
-0.44662 53.4
-0.44638 52.6
-0.44614 51.7
-0.44589 50.8
-0.44565 49.9
-0.4454 48.8
-0.44516 47.7
-0.44492 46.5
-0.44467 45.3
-0.44443 44.0
-0.44418 42.7
-0.44394 41.3
-0.4437 39.8
-0.44345 38.3
-0.44321 36.7
-0.44296 35.1
-0.44272 33.5
-0.44247 31.8
-0.44223 30.0
-0.44199 28.3
-0.44174 26.4
-0.4415 24.6
-0.44125 22.7
-0.44101 20.8
-0.44077 18.8
-0.44052 16.9
-0.44028 14.9
-0.44003 12.9
-0.43979 10.8
-0.43954 8.8
-0.4393 6.7
-0.43906 4.6
-0.43881 2.6
-0.43857 0.5
-0.43832 -1.6
-0.43808 -3.7
-0.43784 -5.8
-0.43759 -7.8
-0.43735 -9.9
-0.4371 -11.9
-0.43686 -14.0
-0.43661 -16.0
-0.43637 -18.0
-0.43613 -20.0
-0.43588 -21.9
-0.43564 -23.8
-0.43539 -25.7
-0.43515 -27.6
-0.43491 -29.4
-0.43466 -31.2
-0.43442 -32.9
-0.43417 -34.6
-0.43393 -36.3
-0.43369 -37.9
-0.43344 -39.5
-0.4332 -41.0
-0.43295 -42.4
-0.43271 -43.8
-0.43246 -45.1
-0.43222 -46.4
-0.43198 -47.7
-0.43173 -48.8
-0.43149 -49.9
-0.43124 -50.9
-0.431 -51.9
-0.43076 -52.8
-0.43051 -53.6
-0.43027 -54.4
-0.43002 -55.0
-0.42978 -55.6
-0.42953 -56.2
-0.42929 -56.6
-0.42905 -57.0
-0.4288 -57.3
-0.42856 -57.6
-0.42831 -57.7
-0.42807 -57.8
-0.42783 -57.8
-0.42758 -57.7
-0.42734 -57.5
-0.42709 -57.3
-0.42685 -57.0
-0.42661 -56.6
-0.42636 -56.2
-0.42612 -55.6
-0.42587 -55.0
-0.42563 -54.3
-0.42538 -53.6
-0.42514 -52.7
-0.4249 -51.8
-0.42465 -50.9
-0.42441 -49.8
-0.42416 -48.7
-0.42392 -47.6
-0.42368 -46.3
-0.42343 -45.0
-0.42319 -43.7
-0.42294 -42.2
-0.4227 -40.8
-0.42245 -39.2
-0.42221 -37.6
-0.42197 -36.0
-0.42172 -34.3
-0.42148 -32.6
-0.42123 -30.8
-0.42099 -29.0
-0.42075 -27.1
-0.4205 -25.2
-0.42026 -23.3
-0.42001 -21.3
-0.41977 -19.3
-0.41953 -17.3
-0.41928 -15.2
-0.41904 -13.2
-0.41879 -11.1
-0.41855 -9.0
-0.4183 -6.9
-0.41806 -4.7
-0.41782 -2.6
-0.41757 -0.4
-0.41733 1.7
-0.41708 3.8
-0.41684 6.0
-0.4166 8.1
-0.41635 10.2
-0.41611 12.3
-0.41586 14.4
-0.41562 16.5
-0.41537 18.5
-0.41513 20.6
-0.41489 22.6
-0.41464 24.5
-0.4144 26.5
-0.41415 28.4
-0.41391 30.2
-0.41367 32.0
-0.41342 33.8
-0.41318 35.6
-0.41293 37.3
-0.41269 38.9
-0.41245 40.5
-0.4122 42.0
-0.41196 43.5
-0.41171 44.9
-0.41147 46.2
-0.41122 47.5
-0.41098 48.8
-0.41074 49.9
-0.41049 51.0
-0.41025 52.0
-0.41 53.0
-0.40976 53.9
-0.40952 54.7
-0.40927 55.4
-0.40903 56.0
-0.40878 56.6
-0.40854 57.1
-0.40829 57.5
-0.40805 57.9
-0.40781 58.1
-0.40756 58.3
-0.40732 58.4
-0.40707 58.4
-0.40683 58.4
-0.40659 58.2
-0.40634 58.0
-0.4061 57.7
-0.40585 57.3
-0.40561 56.9
-0.40536 56.3
-0.40512 55.7
-0.40488 55.0
-0.40463 54.2
-0.40439 53.4
-0.40414 52.5
-0.4039 51.5
-0.40366 50.4
-0.40341 49.3
-0.40317 48.1
-0.40292 46.8
-0.40268 45.4
-0.40244 44.0
-0.40219 42.6
-0.40195 41.0
-0.4017 39.5
-0.40146 37.8
-0.40121 36.1
-0.40097 34.4
-0.40073 32.6
-0.40048 30.7
-0.40024 28.9
-0.39999 26.9
-0.39975 25.0
-0.39951 23.0
-0.39926 20.9
-0.39902 18.9
-0.39877 16.8
-0.39853 14.7
-0.39828 12.5
-0.39804 10.4
-0.3978 8.2
-0.39755 6.0
-0.39731 3.8
-0.39706 1.6
-0.39682 -0.6
-0.39658 -2.8
-0.39633 -5.0
-0.39609 -7.2
-0.39584 -9.4
-0.3956 -11.5
-0.39536 -13.7
-0.39511 -15.8
-0.39487 -18.0
-0.39462 -20.1
-0.39438 -22.1
-0.39413 -24.2
-0.39389 -26.2
-0.39365 -28.1
-0.3934 -30.1
-0.39316 -32.0
-0.39291 -33.8
-0.39267 -35.6
-0.39243 -37.3
-0.39218 -39.0
-0.39194 -40.7
-0.39169 -42.3
-0.39145 -43.8
-0.3912 -45.2
-0.39096 -46.6
-0.39072 -48.0
-0.39047 -49.2
