t strain*1e23
-0.33319 12.3
-0.33295 12.2
-0.3327 12.1
-0.33246 12.0
-0.33221 11.8
-0.33197 11.7
-0.33173 11.5
-0.33148 11.3
-0.33124 11.1
-0.33099 10.9
-0.33075 10.7
-0.33051 10.4
-0.33026 10.2
-0.33002 9.9
-0.32977 9.7
-0.32953 9.4
-0.32928 9.1
-0.32904 8.8
-0.3288 8.5
-0.32855 8.2
-0.32831 7.8
-0.32806 7.5
-0.32782 7.1
-0.32758 6.8
-0.32733 6.4
-0.32709 6.0
-0.32684 5.6
-0.3266 5.2
-0.32635 4.8
-0.32611 4.4
-0.32587 4.0
-0.32562 3.6
-0.32538 3.2
-0.32513 2.8
-0.32489 2.4
-0.32465 1.9
-0.3244 1.5
-0.32416 1.1
-0.32391 0.6
-0.32367 0.2
-0.32343 -0.2
-0.32318 -0.7
-0.32294 -1.1
-0.32269 -1.6
-0.32245 -2.0
-0.3222 -2.4
-0.32196 -2.8
-0.32172 -3.3
-0.32147 -3.7
-0.32123 -4.1
-0.32098 -4.5
-0.32074 -4.9
-0.3205 -5.3
-0.32025 -5.7
-0.32001 -6.1
-0.31976 -6.5
-0.31952 -6.9
-0.31927 -7.2
-0.31903 -7.6
-0.31879 -8.0
-0.31854 -8.3
-0.3183 -8.6
-0.31805 -8.9
-0.31781 -9.3
-0.31757 -9.6
-0.31732 -9.8
-0.31708 -10.1
-0.31683 -10.4
-0.31659 -10.6
-0.31635 -10.9
-0.3161 -11.1
-0.31586 -11.3
-0.31561 -11.5
-0.31537 -11.7
-0.31512 -11.9
-0.31488 -12.0
-0.31464 -12.2
-0.31439 -12.3
-0.31415 -12.4
-0.3139 -12.5
-0.31366 -12.6
-0.31342 -12.7
-0.31317 -12.7
-0.31293 -12.8
-0.31268 -12.8
-0.31244 -12.8
-0.31219 -12.8
-0.31195 -12.8
-0.31171 -12.7
-0.31146 -12.7
-0.31122 -12.6
-0.31097 -12.5
-0.31073 -12.4
-0.31049 -12.3
-0.31024 -12.2
-0.31 -12.0
-0.30975 -11.9
-0.30951 -11.7
-0.30927 -11.5
-0.30902 -11.3
-0.30878 -11.1
-0.30853 -10.9
-0.30829 -10.6
-0.30804 -10.4
-0.3078 -10.1
-0.30756 -9.8
-0.30731 -9.5
-0.30707 -9.2
-0.30682 -8.9
-0.30658 -8.6
-0.30634 -8.2
-0.30609 -7.9
-0.30585 -7.5
-0.3056 -7.1
-0.30536 -6.8
-0.30511 -6.4
-0.30487 -6.0
-0.30463 -5.6
-0.30438 -5.2
-0.30414 -4.7
-0.30389 -4.3
-0.30365 -3.9
-0.30341 -3.5
-0.30316 -3.0
-0.30292 -2.6
-0.30267 -2.1
-0.30243 -1.7
-0.30219 -1.2
-0.30194 -0.8
-0.3017 -0.3
-0.30145 0.1
-0.30121 0.6
-0.30096 1.0
-0.30072 1.5
-0.30048 1.9
-0.30023 2.4
-0.29999 2.8
-0.29974 3.3
-0.2995 3.7
-0.29926 4.1
-0.29901 4.6
-0.29877 5.0
-0.29852 5.4
-0.29828 5.8
-0.29803 6.2
-0.29779 6.6
-0.29755 7.0
-0.2973 7.4
-0.29706 7.8
-0.29681 8.1
-0.29657 8.5
-0.29633 8.8
-0.29608 9.2
-0.29584 9.5
-0.29559 9.8
-0.29535 10.1
-0.2951 10.4
-0.29486 10.6
-0.29462 10.9
-0.29437 11.1
-0.29413 11.4
-0.29388 11.6
-0.29364 11.8
-0.2934 12.0
-0.29315 12.1
-0.29291 12.3
-0.29266 12.4
-0.29242 12.6
-0.29218 12.7
-0.29193 12.8
-0.29169 12.9
-0.29144 12.9
-0.2912 13.0
-0.29095 13.0
-0.29071 13.0
-0.29047 13.0
-0.29022 13.0
-0.28998 12.9
-0.28973 12.9
-0.28949 12.8
-0.28925 12.7
-0.289 12.6
-0.28876 12.5
-0.28851 12.4
-0.28827 12.2
-0.28802 12.1
-0.28778 11.9
-0.28754 11.7
-0.28729 11.5
-0.28705 11.2
-0.2868 11.0
-0.28656 10.7
-0.28632 10.5
-0.28607 10.2
-0.28583 9.9
-0.28558 9.6
-0.28534 9.3
-0.2851 8.9
-0.28485 8.6
-0.28461 8.2
-0.28436 7.8
-0.28412 7.5
-0.28387 7.1
-0.28363 6.7
-0.28339 6.3
-0.28314 5.9
-0.2829 5.4
-0.28265 5.0
-0.28241 4.6
-0.28217 4.1
-0.28192 3.7
-0.28168 3.2
-0.28143 2.8
-0.28119 2.3
-0.28094 1.8
-0.2807 1.4
-0.28046 0.9
-0.28021 0.4
-0.27997 0.0
-0.27972 -0.5
-0.27948 -1.0
-0.27924 -1.5
-0.27899 -1.9
-0.27875 -2.4
-0.2785 -2.9
-0.27826 -3.3
-0.27802 -3.8
-0.27777 -4.2
-0.27753 -4.7
-0.27728 -5.1
-0.27704 -5.6
-0.27679 -6.0
-0.27655 -6.4
-0.27631 -6.8
-0.27606 -7.2
-0.27582 -7.6
-0.27557 -8.0
-0.27533 -8.4
-0.27509 -8.7
-0.27484 -9.1
-0.2746 -9.4
